week_end,pathogen,percent_deaths
2018-01-06,RSV,0
2018-01-06,Influenza,1.8
2018-01-06,COVID-19,0
2018-01-13,RSV,0
2018-01-13,Influenza,2.3
2018-01-13,COVID-19,0
2018-01-20,RSV,0
2018-01-20,Influenza,2.5
2018-01-20,COVID-19,0
2018-01-27,RSV,0
2018-01-27,Influenza,2.3
2018-01-27,COVID-19,0
2018-02-03,RSV,0
2018-02-03,Influenza,2.2
2018-02-03,COVID-19,0
2018-02-10,RSV,0
2018-02-10,Influenza,2
2018-02-10,COVID-19,0
2018-02-17,RSV,0
2018-02-17,Influenza,2
2018-02-17,COVID-19,0
2018-02-24,RSV,0
2018-02-24,Influenza,1.5
2018-02-24,COVID-19,0
2018-03-03,Influenza,1.3
2018-03-03,COVID-19,0
2018-03-10,RSV,0
2018-03-10,Influenza,0.9
2018-03-10,COVID-19,0
2018-03-17,RSV,0
2018-03-17,Influenza,0.8
2018-03-17,COVID-19,0
2018-03-24,Influenza,0.6
2018-03-24,COVID-19,0
2018-03-31,RSV,0
2018-03-31,Influenza,0.5
2018-03-31,COVID-19,0
2018-04-07,Influenza,0.5
2018-04-07,COVID-19,0
2018-04-14,Influenza,0.4
2018-04-14,COVID-19,0
2018-04-21,Influenza,0.3
2018-04-21,COVID-19,0
2018-04-28,Influenza,0.2
2018-04-28,COVID-19,0
2018-05-05,Influenza,0.2
2018-05-05,COVID-19,0
2018-05-12,Influenza,0.1
2018-05-12,COVID-19,0
2018-05-19,Influenza,0.1
2018-05-19,COVID-19,0
2018-05-26,Influenza,0.1
2018-05-26,COVID-19,0
2018-06-02,Influenza,0.1
2018-06-02,COVID-19,0
2018-06-09,RSV,0
2018-06-09,Influenza,0
2018-06-09,COVID-19,0
2018-06-16,RSV,0
2018-06-16,Influenza,0
2018-06-16,COVID-19,0
2018-06-23,RSV,0
2018-06-23,COVID-19,0
2018-06-30,RSV,0
2018-06-30,COVID-19,0
2018-07-07,RSV,0
2018-07-07,Influenza,0
2018-07-07,COVID-19,0
2018-07-14,RSV,0
2018-07-14,COVID-19,0
2018-07-21,RSV,0
2018-07-21,COVID-19,0
2018-07-28,RSV,0
2018-07-28,Influenza,0
2018-07-28,COVID-19,0
2018-08-04,COVID-19,0
2018-08-11,Influenza,0
2018-08-11,COVID-19,0
2018-08-18,RSV,0
2018-08-18,COVID-19,0
2018-08-25,RSV,0
2018-08-25,Influenza,0
2018-08-25,COVID-19,0
2018-09-01,COVID-19,0
2018-09-08,COVID-19,0
2018-09-15,COVID-19,0
2018-09-22,Influenza,0
2018-09-22,COVID-19,0
2018-09-29,Influenza,0
2018-09-29,COVID-19,0
2018-10-06,Influenza,0
2018-10-06,COVID-19,0
2018-10-13,RSV,0
2018-10-13,Influenza,0
2018-10-13,COVID-19,0
2018-10-20,Influenza,0
2018-10-20,COVID-19,0
2018-10-27,RSV,0
2018-10-27,Influenza,0
2018-10-27,COVID-19,0
2018-11-03,Influenza,0
2018-11-03,COVID-19,0
2018-11-10,Influenza,0.1
2018-11-10,COVID-19,0
2018-11-17,RSV,0
2018-11-17,Influenza,0
2018-11-17,COVID-19,0
2018-11-24,Influenza,0.1
2018-11-24,COVID-19,0
2018-12-01,Influenza,0.1
2018-12-01,COVID-19,0
2018-12-08,Influenza,0.1
2018-12-08,COVID-19,0
2018-12-15,Influenza,0.1
2018-12-15,COVID-19,0
2018-12-22,Influenza,0.2
2018-12-22,COVID-19,0
2018-12-29,RSV,0
2018-12-29,Influenza,0.2
2018-12-29,COVID-19,0
2019-01-05,RSV,0
2019-01-05,Influenza,0.4
2019-01-05,COVID-19,0
2019-01-12,RSV,0
2019-01-12,Influenza,0.4
2019-01-12,COVID-19,0
2019-01-19,RSV,0
2019-01-19,Influenza,0.4
2019-01-19,COVID-19,0
2019-01-26,RSV,0
2019-01-26,Influenza,0.5
2019-01-26,COVID-19,0
2019-02-02,RSV,0
2019-02-02,Influenza,0.6
2019-02-02,COVID-19,0
2019-02-09,RSV,0
2019-02-09,Influenza,0.6
2019-02-09,COVID-19,0
2019-02-16,RSV,0
2019-02-16,Influenza,0.8
2019-02-16,COVID-19,0
2019-02-23,RSV,0
2019-02-23,Influenza,0.8
2019-02-23,COVID-19,0
2019-03-02,RSV,0
2019-03-02,Influenza,0.9
2019-03-02,COVID-19,0
2019-03-09,Influenza,0.9
2019-03-09,COVID-19,0
2019-03-16,RSV,0
2019-03-16,Influenza,0.9
2019-03-16,COVID-19,0
2019-03-23,RSV,0
2019-03-23,Influenza,0.8
2019-03-23,COVID-19,0
2019-03-30,RSV,0
2019-03-30,Influenza,0.8
2019-03-30,COVID-19,0
2019-04-06,Influenza,0.6
2019-04-06,COVID-19,0
2019-04-13,RSV,0
2019-04-13,Influenza,0.5
2019-04-13,COVID-19,0
2019-04-20,Influenza,0.4
2019-04-20,COVID-19,0
2019-04-27,Influenza,0.3
2019-04-27,COVID-19,0
2019-05-04,Influenza,0.2
2019-05-04,COVID-19,0
2019-05-11,RSV,0
2019-05-11,Influenza,0.1
2019-05-11,COVID-19,0
2019-05-18,Influenza,0.1
2019-05-18,COVID-19,0
2019-05-25,RSV,0
2019-05-25,Influenza,0.1
2019-05-25,COVID-19,0
2019-06-01,Influenza,0.1
2019-06-01,COVID-19,0
2019-06-08,RSV,0
2019-06-08,Influenza,0
2019-06-08,COVID-19,0
2019-06-15,RSV,0
2019-06-15,Influenza,0
2019-06-15,COVID-19,0
2019-06-22,COVID-19,0
2019-06-22,Influenza,0
2019-06-22,RSV,0
2019-06-29,COVID-19,0
2019-06-29,Influenza,0
2019-06-29,RSV,0
2019-07-06,COVID-19,0
2019-07-06,Influenza,0
2019-07-06,RSV,0
2019-07-13,COVID-19,0
2019-07-13,Influenza,0
2019-07-13,RSV,0
2019-07-20,COVID-19,0
2019-07-20,RSV,0
2019-07-27,COVID-19,0
2019-07-27,RSV,0
2019-08-03,COVID-19,0
2019-08-10,COVID-19,0
2019-08-10,RSV,0
2019-08-17,COVID-19,0
2019-08-17,RSV,0
2019-08-24,COVID-19,0
2019-08-24,RSV,0
2019-08-31,COVID-19,0
2019-08-31,Influenza,0
2019-09-07,COVID-19,0
2019-09-07,Influenza,0
2019-09-14,COVID-19,0
2019-09-14,Influenza,0
2019-09-21,COVID-19,0
2019-09-21,Influenza,0
2019-09-28,COVID-19,0
2019-09-28,Influenza,0
2019-09-28,RSV,0
2019-10-05,COVID-19,0
2019-10-05,Influenza,0
2019-10-12,COVID-19,0
2019-10-12,Influenza,0
2019-10-12,RSV,0
2019-10-19,COVID-19,0
2019-10-19,Influenza,0
2019-10-26,COVID-19,0
2019-10-26,Influenza,0.1
2019-11-02,COVID-19,0
2019-11-02,Influenza,0.1
2019-11-09,COVID-19,0
2019-11-09,Influenza,0.1
2019-11-16,COVID-19,0
2019-11-16,Influenza,0.1
2019-11-23,COVID-19,0
2019-11-23,Influenza,0.1
2019-11-30,COVID-19,0
2019-11-30,Influenza,0.1
2019-12-07,COVID-19,0
2019-12-07,Influenza,0.2
2019-12-14,COVID-19,0
2019-12-14,Influenza,0.2
2019-12-21,COVID-19,0
2019-12-21,Influenza,0.2
2019-12-21,RSV,0
2019-12-28,COVID-19,0
2019-12-28,Influenza,0.3
2019-12-28,RSV,0
2020-01-04,COVID-19,0
2020-01-04,Influenza,0.7
2020-01-04,RSV,0
2020-01-11,Influenza,0.8
2020-01-11,RSV,0
2020-01-18,Influenza,0.8
2020-01-18,RSV,0
2020-01-25,Influenza,0.8
2020-01-25,RSV,0
2020-02-01,COVID-19,0
2020-02-01,Influenza,0.8
2020-02-01,RSV,0
2020-02-08,Influenza,0.9
2020-02-08,RSV,0
2020-02-15,Influenza,1
2020-02-15,RSV,0
2020-02-22,Influenza,1
2020-02-22,RSV,0
2020-02-29,Influenza,1.1
2020-02-29,RSV,0
2020-03-07,COVID-19,0.1
2020-03-07,Influenza,1.1
2020-03-07,RSV,0
2020-03-14,COVID-19,0.1
2020-03-14,Influenza,1.1
2020-03-14,RSV,0
2020-03-21,COVID-19,1
2020-03-21,Influenza,0.9
2020-03-21,RSV,0
2020-03-28,COVID-19,5.1
2020-03-28,Influenza,0.7
2020-03-28,RSV,0
2020-04-04,COVID-19,14
2020-04-04,Influenza,0.7
2020-04-04,RSV,0
2020-04-11,COVID-19,20.6
2020-04-11,Influenza,0.6
2020-04-11,RSV,0
2020-04-18,COVID-19,22.4
2020-04-18,Influenza,0.3
2020-04-25,COVID-19,21
2020-04-25,Influenza,0.2
2020-05-02,COVID-19,19.1
2020-05-02,Influenza,0.1
2020-05-09,COVID-19,16.8
2020-05-09,Influenza,0.1
2020-05-16,COVID-19,14.3
2020-05-16,Influenza,0
2020-05-23,COVID-19,11.7
2020-05-23,Influenza,0
2020-05-30,COVID-19,10.3
2020-05-30,Influenza,0
2020-05-30,RSV,0
2020-06-06,COVID-19,8.6
2020-06-06,Influenza,0
2020-06-06,RSV,0
2020-06-13,COVID-19,7.3
2020-06-13,Influenza,0
2020-06-20,COVID-19,6.6
2020-06-27,COVID-19,6.6
2020-06-27,Influenza,0
2020-07-04,COVID-19,7.6
2020-07-04,RSV,0
2020-07-11,COVID-19,9.3
2020-07-11,Influenza,0
2020-07-11,RSV,0
2020-07-18,COVID-19,11.4
2020-07-18,Influenza,0
2020-07-18,RSV,0
2020-07-25,COVID-19,12.8
2020-07-25,Influenza,0
2020-07-25,RSV,0
2020-08-01,COVID-19,12.9
2020-08-01,Influenza,0
2020-08-01,RSV,0
2020-08-08,COVID-19,12.3
2020-08-08,Influenza,0
2020-08-08,RSV,0
2020-08-15,COVID-19,11.4
2020-08-22,COVID-19,10.2
2020-08-22,Influenza,0
2020-08-29,COVID-19,9.4
2020-08-29,Influenza,0
2020-08-29,RSV,0
2020-09-05,COVID-19,8.3
2020-09-05,RSV,0
2020-09-12,COVID-19,7.8
2020-09-19,COVID-19,7.2
2020-09-19,RSV,0
2020-09-26,COVID-19,7.1
2020-10-03,COVID-19,7.1
2020-10-03,RSV,0
2020-10-10,COVID-19,7.8
2020-10-10,Influenza,0
2020-10-10,RSV,0
2020-10-17,COVID-19,8.6
2020-10-17,Influenza,0
2020-10-17,RSV,0
2020-10-24,COVID-19,9.6
2020-10-24,Influenza,0
2020-10-24,RSV,0
2020-10-31,COVID-19,11.1
2020-10-31,Influenza,0
2020-11-07,COVID-19,13
2020-11-07,Influenza,0
2020-11-07,RSV,0
2020-11-14,COVID-19,15.5
2020-11-14,Influenza,0
2020-11-14,RSV,0
2020-11-21,COVID-19,18.6
2020-11-21,Influenza,0
2020-11-21,RSV,0
2020-11-28,COVID-19,21.3
2020-11-28,Influenza,0
2020-11-28,RSV,0
2020-12-05,Influenza,0
2020-12-05,RSV,0
2020-12-05,COVID-19,24
2020-12-12,Influenza,0
2020-12-12,RSV,0
2020-12-12,COVID-19,25.5
2020-12-19,Influenza,0
2020-12-19,RSV,0
2020-12-19,COVID-19,26.9
2020-12-26,Influenza,0
2020-12-26,COVID-19,27.7
2021-01-02,Influenza,0
2021-01-02,RSV,0
2021-01-02,COVID-19,28.6
2021-01-09,Influenza,0
2021-01-09,RSV,0
2021-01-09,COVID-19,29.9
2021-01-16,Influenza,0
2021-01-16,RSV,0
2021-01-16,COVID-19,29.5
2021-01-23,Influenza,0
2021-01-23,RSV,0
2021-01-23,COVID-19,28.4
2021-01-30,Influenza,0
2021-01-30,COVID-19,25.7
2021-02-06,Influenza,0
2021-02-06,RSV,0
2021-02-06,COVID-19,22.3
2021-02-13,Influenza,0
2021-02-13,COVID-19,18.9
2021-02-20,Influenza,0
2021-02-20,RSV,0
2021-02-20,COVID-19,15.6
2021-02-27,Influenza,0
2021-02-27,RSV,0
2021-02-27,COVID-19,13
2021-03-06,Influenza,0
2021-03-06,RSV,0
2021-03-06,COVID-19,10.6
2021-03-13,Influenza,0
2021-03-13,RSV,0
2021-03-13,COVID-19,9.3
2021-03-20,RSV,0
2021-03-20,COVID-19,8.1
2021-03-27,Influenza,0
2021-03-27,RSV,0
2021-03-27,COVID-19,7.3
2021-04-03,Influenza,0
2021-04-03,RSV,0
2021-04-03,COVID-19,7.2
2021-04-10,Influenza,0
2021-04-10,RSV,0
2021-04-10,COVID-19,7.1
2021-04-17,RSV,0
2021-04-17,COVID-19,7.5
2021-04-24,Influenza,0
2021-04-24,COVID-19,7.6
2021-05-01,RSV,0
2021-05-01,COVID-19,7
2021-05-08,COVID-19,6.8
2021-05-15,Influenza,0
2021-05-15,COVID-19,6.3
2021-05-22,COVID-19,5.5
2021-05-29,COVID-19,4.8
2021-06-05,RSV,0
2021-06-05,COVID-19,4.1
2021-06-12,COVID-19,3.6
2021-06-19,COVID-19,3.1
2021-06-26,COVID-19,2.9
2021-07-03,RSV,0
2021-07-03,COVID-19,2.7
2021-07-10,COVID-19,2.9
2021-07-17,COVID-19,3.5
2021-07-24,COVID-19,4.7
2021-07-31,Influenza,0
2021-07-31,COVID-19,6.8
2021-08-07,COVID-19,10.2
2021-08-14,Influenza,0
2021-08-14,COVID-19,14.1
2021-08-21,COVID-19,17.4
2021-08-28,Influenza,0
2021-08-28,COVID-19,19.7
2021-09-04,Influenza,0
2021-09-04,COVID-19,21.1
2021-09-11,Influenza,0
2021-09-11,COVID-19,21
2021-09-18,Influenza,0
2021-09-18,COVID-19,20.8
2021-09-25,Influenza,0
2021-09-25,COVID-19,19.9
2021-10-02,Influenza,0
2021-10-02,COVID-19,18
2021-10-09,Influenza,0
2021-10-09,COVID-19,16.2
2021-10-16,Influenza,0
2021-10-16,COVID-19,14.7
2021-10-23,Influenza,0
2021-10-23,RSV,0
2021-10-23,COVID-19,13.4
2021-10-30,Influenza,0
2021-10-30,COVID-19,12
2021-11-06,COVID-19,11
2021-11-13,Influenza,0
2021-11-13,RSV,0
2021-11-13,COVID-19,10.6
2021-11-20,Influenza,0
2021-11-20,COVID-19,10.9
2021-11-27,Influenza,0
2021-11-27,RSV,0
2021-11-27,COVID-19,11.6
2021-12-04,Influenza,0.1
2021-12-04,RSV,0
2021-12-04,COVID-19,12.5
2021-12-11,Influenza,0.1
2021-12-11,RSV,0
2021-12-11,COVID-19,13.5
2021-12-18,Influenza,0.1
2021-12-18,RSV,0
2021-12-18,COVID-19,14.4
2021-12-25,Influenza,0.1
2021-12-25,RSV,0
2021-12-25,COVID-19,14.5
2022-01-01,Influenza,0.2
2022-01-01,RSV,0
2022-01-01,COVID-19,15.7
2022-01-08,Influenza,0.2
2022-01-08,RSV,0
2022-01-08,COVID-19,19
2022-01-15,Influenza,0.2
2022-01-15,RSV,0
2022-01-15,COVID-19,22.5
2022-01-22,Influenza,0.1
2022-01-22,RSV,0
2022-01-22,COVID-19,24.9
2022-01-29,Influenza,0.1
2022-01-29,RSV,0
2022-01-29,COVID-19,24.7
2022-02-05,Influenza,0.1
2022-02-05,RSV,0
2022-02-05,COVID-19,23.1
2022-02-12,Influenza,0.1
2022-02-12,COVID-19,19.9
2022-02-19,Influenza,0.1
2022-02-19,COVID-19,16.3
2022-02-26,Influenza,0.1
2022-02-26,COVID-19,12.5
2022-03-05,Influenza,0.1
2022-03-05,COVID-19,9.4
2022-03-12,Influenza,0.1
2022-03-12,COVID-19,7.1
2022-03-19,Influenza,0.1
2022-03-19,COVID-19,5.2
2022-03-26,Influenza,0.1
2022-03-26,COVID-19,4.3
2022-04-02,Influenza,0.1
2022-04-02,COVID-19,3.3
2022-04-09,Influenza,0.2
2022-04-09,COVID-19,2.7
2022-04-16,Influenza,0.2
2022-04-16,COVID-19,2.4
2022-04-23,Influenza,0.2
2022-04-23,COVID-19,2.4
2022-04-30,Influenza,0.2
2022-04-30,COVID-19,2.5
2022-05-07,Influenza,0.1
2022-05-07,COVID-19,2.5
2022-05-14,Influenza,0.2
2022-05-14,COVID-19,2.9
2022-05-21,Influenza,0.2
2022-05-21,COVID-19,3
2022-05-28,Influenza,0.1
2022-05-28,COVID-19,3.4
2022-06-04,Influenza,0.1
2022-06-04,COVID-19,3.5
2022-06-11,Influenza,0.1
2022-06-11,COVID-19,3.7
2022-06-18,Influenza,0.1
2022-06-18,COVID-19,3.8
2022-06-25,Influenza,0.1
2022-06-25,COVID-19,4
2022-07-02,Influenza,0.1
2022-07-02,COVID-19,4.2
2022-07-09,Influenza,0.1
2022-07-09,COVID-19,4.5
2022-07-16,Influenza,0
2022-07-16,COVID-19,5
2022-07-23,Influenza,0
2022-07-23,COVID-19,5.4
2022-07-30,Influenza,0
2022-07-30,COVID-19,5.8
2022-08-06,Influenza,0
2022-08-06,COVID-19,5.7
2022-08-13,Influenza,0
2022-08-13,COVID-19,5.6
2022-08-20,Influenza,0
2022-08-20,COVID-19,5.4
2022-08-27,Influenza,0
2022-08-27,COVID-19,5.2
2022-09-03,Influenza,0
2022-09-03,COVID-19,5
2022-09-10,Influenza,0
2022-09-10,COVID-19,4.8
2022-09-17,Influenza,0
2022-09-17,COVID-19,4.3
2022-09-24,Influenza,0
2022-09-24,COVID-19,4.3
2022-10-01,Influenza,0
2022-10-01,COVID-19,4.1
2022-10-08,Influenza,0
2022-10-08,COVID-19,3.7
2022-10-15,Influenza,0.1
2022-10-15,RSV,0
2022-10-15,COVID-19,3.6
2022-10-22,Influenza,0.1
2022-10-22,RSV,0
2022-10-22,COVID-19,3.6
2022-10-29,Influenza,0.2
2022-10-29,RSV,0
2022-10-29,COVID-19,3.7
2022-11-05,Influenza,0.2
2022-11-05,RSV,0
2022-11-05,COVID-19,3.7
2022-11-12,Influenza,0.4
2022-11-12,RSV,0.1
2022-11-12,COVID-19,3.6
2022-11-19,Influenza,0.4
2022-11-19,RSV,0.1
2022-11-19,COVID-19,3.7
2022-11-26,Influenza,0.7
2022-11-26,RSV,0.1
2022-11-26,COVID-19,3.9
2022-12-03,Influenza,1.3
2022-12-03,RSV,0.1
2022-12-03,COVID-19,3.9
2022-12-10,Influenza,1.5
2022-12-10,RSV,0.1
2022-12-10,COVID-19,4.5
2022-12-17,Influenza,1.6
2022-12-17,RSV,0.1
2022-12-17,COVID-19,4.8
2022-12-24,Influenza,1.4
2022-12-24,RSV,0.1
2022-12-24,COVID-19,4.9
2022-12-31,Influenza,1.4
2022-12-31,RSV,0.1
2022-12-31,COVID-19,5.2
2023-01-07,Influenza,1.2
2023-01-07,RSV,0.1
2023-01-07,COVID-19,5.6
2023-01-14,Influenza,0.9
2023-01-14,RSV,0.1
2023-01-14,COVID-19,5.6
2023-01-21,Influenza,0.6
2023-01-21,RSV,0
2023-01-21,COVID-19,5.1
2023-01-28,Influenza,0.4
2023-01-28,RSV,0
2023-01-28,COVID-19,4.7
2023-02-04,Influenza,0.2
2023-02-04,RSV,0
2023-02-04,COVID-19,4.2
2023-02-11,Influenza,0.2
2023-02-11,RSV,0
2023-02-11,COVID-19,3.8
2023-02-18,Influenza,0.2
2023-02-18,COVID-19,3.4
2023-02-25,Influenza,0.1
2023-02-25,COVID-19,3.5
2023-03-04,Influenza,0.1
2023-03-04,COVID-19,3.3
2023-03-11,Influenza,0.1
2023-03-11,RSV,0
2023-03-11,COVID-19,3.1
2023-03-18,Influenza,0.1
2023-03-18,COVID-19,2.9
2023-03-25,Influenza,0.1
2023-03-25,COVID-19,2.8
2023-04-01,Influenza,0.1
2023-04-01,COVID-19,2.4
2023-04-08,Influenza,0.1
2023-04-08,COVID-19,2.3
2023-04-15,Influenza,0.1
2023-04-15,COVID-19,2.1
2023-04-22,Influenza,0.1
2023-04-22,RSV,0
2023-04-22,COVID-19,2.1
2023-04-29,Influenza,0.1
2023-04-29,COVID-19,1.8
2023-05-06,Influenza,0.1
2023-05-06,COVID-19,1.6
2023-05-13,Influenza,0.1
2023-05-13,COVID-19,1.5
2023-05-20,Influenza,0.1
2023-05-20,COVID-19,1.3
2023-05-27,Influenza,0.1
2023-05-27,COVID-19,1.3
2023-06-03,Influenza,0.1
2023-06-03,COVID-19,1.2
2023-06-10,Influenza,0
2023-06-10,COVID-19,1.1
2023-06-17,Influenza,0.1
2023-06-17,COVID-19,1.1
2023-06-24,Influenza,0.1
2023-06-24,COVID-19,1
2023-07-01,Influenza,0
2023-07-01,COVID-19,1
2023-07-08,Influenza,0.1
2023-07-08,RSV,0
2023-07-08,COVID-19,0.9
2023-07-15,Influenza,0
2023-07-15,RSV,0
2023-07-15,COVID-19,0.9
2023-07-22,Influenza,0
2023-07-22,COVID-19,1
2023-07-29,Influenza,0
2023-07-29,RSV,0
2023-07-29,COVID-19,1
2023-08-05,Influenza,0
2023-08-05,RSV,0
2023-08-05,COVID-19,1.2
2023-08-12,Influenza,0
2023-08-12,COVID-19,1.3
2023-08-19,Influenza,0
2023-08-19,COVID-19,1.6
2023-08-26,Influenza,0
2023-08-26,RSV,0
2023-08-26,COVID-19,1.9
2023-09-02,Influenza,0
2023-09-02,COVID-19,2.1
2023-09-09,Influenza,0.1
2023-09-09,COVID-19,2.3
2023-09-16,Influenza,0.1
2023-09-16,COVID-19,2.5
2023-09-23,Influenza,0
2023-09-23,COVID-19,2.5
2023-09-30,Influenza,0.1
2023-09-30,COVID-19,2.7
2023-10-07,Influenza,0
2023-10-07,RSV,0
2023-10-07,COVID-19,2.5
